x_VG_1000, y_VG_1000
41.59455782312926, 900.9238937817512
43.994557823129256, 762.8530838550937
46.995918367346945, 622.4991663438612
50.400000000000006, 498.66533098271907
53.00952380952382, 430.11980786989255
56.019047619047626, 360.8514966546567
59.03129251700681, 305.54931325133293
62.84897959183674, 249.3326654913595
66.26666666666668, 209.17907955233653
71.09931972789116, 167.56705965129999
74.32380952380953, 145.87559816931454
78.35374149659864, 122.38317548191912
84.00272108843538, 98.03747540233026
88.64489795918368, 82.24910613248524
92.6857142857143, 71.60200567423773
96.9278911564626, 61.75973946897338
104.40544217687075, 48.12100144328463
109.86394557823131, 40.37139204847493
114.51428571428572, 34.82202253184493
119.16462585034016, 30.035458072695388
