dm, v1
10.221485819498914, 277.24817335111965
18.267140140434414, 206.11369869569202
29.132778740386666, 161.9914917404763
48.07561296740245, 124.97748996464705
74.94543072227913, 99.13910269580676
106.6623946115896, 82.37160277954867
160.6941583385592, 66.5635470855111
247.6736869497308, 53.292679852968334
340.64698401644625, 44.6928295078996
495.95457001234377, 36.118237836083054
827.7809834601013, 27.355221377031487
1164.7191699711225, 22.52032693866058
1676.5941360955267, 18.539128167353986
2011.5292039253468, 16.743360060793083
