dm, v1
10.150517675371713, 16.61230390603016
12.040817172937958, 15.28301679644547
14.121253909628576, 14.060418069647506
16.94304650355323, 12.935032856809512
20.098297626421243, 11.89999445780876
24.390351758043643, 10.846712882105534
29.59898743359542, 9.886658415175276
35.111115274124096, 9.09554553507747
42.127226285158535, 8.367544959478124
49.407182237933654, 7.769537986670088
59.958240073666566, 7.081847648485433
70.3195523468172, 6.575726164266656
82.47139069094389, 6.105775884160482
98.9513124423469, 5.617074206948591
124.26011777021961, 5.119549944810771
147.40742943341246, 4.79763273843087
178.8990052459057, 4.495752278427032
212.2245090758608, 4.21305945783755
243.30530572673007, 4.02196751118912
