dm, v1
10.171407694241834, 38.1197041226351
13.375236892208333, 42.16959013664299
17.78985357892768, 46.648675580533215
24.765954305236203, 52.07719321219157
33.3178085796091, 57.60730872047831
46.38409026785279, 64.9073433298613
72.37625791655314, 75.16832306145436
106.67457799061712, 86.2615976176146
151.93383107917703, 97.18828151374521
221.39046178270058, 110.50920720118121
297.8381101780416, 122.24426131712883
414.63213816242643, 136.46985549897113
590.5632766796781, 155.1819245172696
850.7860968133813, 176.4556686330557
1197.9909807491993, 196.98535748739604
1667.7703251286757, 219.90859106243647
2024.7602526363878, 236.66689443615033
