x_3, y_3
0.005270431420785215, 0.36486329641395643
0.007487187239708425, 0.4355652806779116
0.011088165297101986, 0.5490918155536432
0.01748059559783861, 0.7614770254114704
0.023850011957978970, 0.9864676331262339
0.031225615077633263, 1.2606418369688228
0.04175161710441247, 1.70125427985259
0.05584626022097446, 2.391653307595659
0.07473537488474423, 3.5505518401634726
0.08828882985416618, 4.537375625647052
0.12072274678427425, 7.511724389376567
0.13976504728040995, 10.0
0.16521226231997585, 13.680270178135135
0.19134197000264488, 18.971711373202734
0.23118713581413938, 30.150182190799466
0.2623028781105627, 41.81208023855702
0.2736456297167043, 47.91520745052014
