x_1_5, y_1_5
0.005050125962155525, 0.30563782508758053
0.008636607997027349, 0.38529982926556270
0.014474851917333179, 0.50599009084661950
0.026371064099696494, 0.76147702541147040
0.039904316604082314, 1.07049784858807120
0.054446415226295702, 1.44465223434313740
0.082514693192022800, 2.32736181900921530
0.122542692302840610, 4.01374979005344200
0.160653787223312640, 5.95865071988908750
0.206482351538505000, 9.59949796124268100
0.249328659533944690, 14.25102670302997700
0.301139087639799900, 21.74092943838120500
0.371632155348781860, 36.98684925501917000
0.412869476823480460, 48.57250845491113000
