x_VG_46, y_VG_46
20.0,122.10265472743235
22.465753424657535,107.13163324841568
25.54794520547945,90.54566943290939
28.424657534246577,77.97456326208628
32.32876712328767,65.3029953106587
35.410958904109584,56.77118479927826
40.0,46.67202765765899
43.42465753424658,40.960109992476234
47.945205479452056,34.310348895144394
53.28767123287671,28.47864666713667
57.19178082191781,24.99813802166054
62.73972602739726,20.75056044903148
67.46575342465752,17.879966694241254
72.39726027397259,15.40747729267658
76.71232876712328,13.65392132255115
82.46575342465752,11.658761543389605
88.63013698630135,9.86328821118857
93.97260273972601,8.580727297264545
100.54794520547945,7.328767585010307
106.71232876712327,6.317765740529757
112.87671232876711,5.497658008558548
118.42465753424656,4.873840565202314
