dm, v1
10.273218458241766, 21.31257098340828
12.609732210584571, 19.247277641761066
15.129137980535054, 17.544080726782752
18.152331939028294, 16.13986579341752
22.028315821517655, 14.576166086733606
27.34834847782166, 13.163362935048228
32.812507890803055, 11.998533312958232
40.275298276051004, 10.835816202006361
48.32224306191932, 9.876951833235273
62.076677765698676, 8.755898705213179
77.06698273642459, 7.834590110346017
97.88343175468376, 7.009902698687469
121.52314428038447, 6.3304639102719555
150.87550246299642, 5.769883984610101
198.29010881912524, 5.114757314830993
260.6113305644746, 4.576052301424485
309.1582963953814, 4.288310216865657
366.74864451623813, 4.018661349292244
