dm, v1
10.206319974223494, 152.17697388380415
14.525642432516666, 126.43912345477237
22.3879912858761, 101.23077904049758
30.44452336577869, 86.47862651255559
43.82439189401621, 71.19072227591565
66.7813399479043, 57.52709170641437
96.13283918072419, 47.79638279513639
126.33807317087536, 41.5946035853157
203.78688354593336, 32.09197347330539
328.71400412443114, 24.7602975539578
495.21871121399795, 19.8247082008717
826.5527864505088, 15.014832230494813
1203.421769199272, 12.24664651977944
1693.25997111954, 10.082114844781108
2008.5905360248516, 9.275361887675919
