H/dm, Vm
0.003703703703703702, 0.0000016858237547892835
0.012592592592592593, 0.000007330779054916985
0.02703703703703704, 0.000018084291187739473
0.037777777777777785, 0.000027156236696466594
0.04555555555555556, 0.000034538101319710516
0.05333333333333333, 0.00004364410387398891
0.061111111111111116, 0.000053324819071945515
0.06814814814814814, 0.00006358876117496806
0.07555555555555556, 0.00007384844614729673
0.08185185185185184, 0.00008469561515538532
0.08814814814814814, 0.00009554278416347385
0.09185185185185185, 0.00010182205193699447
0.09777777777777777, 0.00011209876543209882
0.10444444444444442, 0.0001235163899531716
0.11037037037037037, 0.00013609195402298853
0.11592592592592593, 0.0001480970625798212
0.12185185185185185, 0.00016182205193699447
0.12703703703703703, 0.00017268199233716477
0.1333333333333333, 0.00018812686249467862
0.13925925925925925, 0.00020242656449553003
0.1448148148148148, 0.00021673052362707537
0.1496296296296296, 0.00022931885908897406
0.15518518518518518, 0.00024247339293316308
0.16148148148148148, 0.00025734355044699874
0.16814814814814816, 0.00027450830140485314
0.17407407407407405, 0.0002882332907620264
0.17777777777777778, 0.00029738612175393784
