H/dm, Vm
0.06521739130434778, 0.00002905982905982915
0.10869565217391297, 0.00007350427350427376
0.14782608695652172, 0.0001384615384615387
0.1934782608695652, 0.00021709401709401732
0.25217391304347814, 0.00031623931623931626
0.2826086956521738, 0.0003641025641025642
0.3239130434782609, 0.00040512820512820505
0.3652173913043478, 0.00044615384615384634
0.4347826086956521, 0.0005111111111111111
0.5, 0.0005658119658119656
0.5978260869565217, 0.0006376068376068374
0.6608695652173913, 0.0006752136752136751
0.7239130434782608, 0.0007196581196581195
0.808695652173913, 0.0007846153846153845
0.8673913043478261, 0.0008358974358974357
0.9391304347826088, 0.0009008547008547006
1.0021739130434781, 0.0009487179487179483
1.041304347826087, 0.0009794871794871793
1.0695652173913044, 0.0010068376068376067
1.1043478260869564, 0.001051282051282051
1.134782608695652, 0.0010888888888888884
1.1543478260869564, 0.0011299145299145297
1.1717391304347826, 0.0011777777777777774
1.182608695652174, 0.0012222222222222218
1.2086956521739132, 0.0012461538461538458
1.2630434782608697, 0.0012495726495726492
1.3847826086956523, 0.0012461538461538458
