H/dm, Vm
0.009629629629629634, 0.0000016177096636866835
0.019259259259259254, 0.000006104725415070238
0.03222222222222222, 0.000010553426990208604
0.04444444444444444, 0.000015010642826734802
0.05592592592592592, 0.000022349936143039565
0.06666666666666667, 0.00003142188165176674
0.07629629629629629, 0.00004165602383993187
0.08407407407407408, 0.000051336739037888474
0.09185185185185185, 0.00006159216687952318
0.10074074074074074, 0.00007413367390378888
0.10851851851851851, 0.0000855385270327799
0.11629629629629631, 0.0000980928054491273
0.12259259259259259, 0.00010893997445721583
0.13185185185185186, 0.0001243507875691784
0.13777777777777778, 0.00013520221370796084
0.1448148148148148, 0.00014776500638569604
0.15037037037037038, 0.00015804597701149427
0.15777777777777777, 0.00017175393784589187
0.16592592592592592, 0.00018602809706257984
0.1748148148148148, 0.0002014431673052363
0.1814814814814815, 0.0002140102171136654
0.18925925925925927, 0.0002265644955300128
0.19444444444444445, 0.00023627501064282675
0.2003703703703704, 0.0002471264367816092
