H/dm, Vm
0.028260869565217284, 0.00002222222222222252
0.07173913043478258, 0.00006324786324786338
0.10652173913043472, 0.00012136752136752168
0.13478260869565206, 0.0001726495726495727
0.15869565217391302, 0.00022393162393162394
0.1804347826086956, 0.0002615384615384617
0.19999999999999996, 0.0003025641025641028
0.2195652173913043, 0.00034017094017094033
0.24347826086956514, 0.00037777777777777766
0.27391304347826084, 0.00041880341880341895
0.3152173913043478, 0.0004700854700854702
0.41086956521739126, 0.0005829059829059828
0.48913043478260876, 0.0006717948717948716
0.5521739130434783, 0.0007333333333333332
0.6608695652173913, 0.0008461538461538461
0.758695652173913, 0.0009418803418803417
0.8239130434782609, 0.0010034188034188031
0.8891304347826088, 0.0010786324786324782
0.9586956521739132, 0.0011504273504273502
1.0434782608695652, 0.001239316239316239
1.108695652173913, 0.001321367521367521
1.1978260869565218, 0.0014341880341880338
1.2695652173913043, 0.0014376068376068373
1.3869565217391304, 0.0014376068376068373
