x_2, y_2
0.005488316528788006, 0.3408351515093574
0.00900898444298174, 0.4355652806779116
0.012282625818637104, 0.5199676580150835
0.018196619521925344, 0.6828409008585848
0.026961437207096955, 0.9090334861384032
0.03756776104708991, 1.2435823691345416
0.051287537451543345, 1.7245920927594074
0.06718903548061637, 2.3592885776024173
0.09569305102941261, 3.7494234998672464
0.11306098817218735, 4.8572508454911185
0.1392897907058301, 6.828409008585842
0.1680909731413696, 9.469594033027171
0.1987922371083166, 13.680270178135135
0.23507238784760393, 19.49578956132685
0.2611248959324415, 25.256133465217943
0.30896880747658484, 38.529982926556215
0.33610442549946046, 47.91520745052014
