x_0_4, y_0_4
0.005164987792187709, 0.16118388208073278
0.010153239311368826, 0.18473805104824834
0.020398088578063585, 0.22360679774997896
0.051436260762908370, 0.30600246029088950
0.103658321603460740, 0.41875965599568277
0.181193262884877580, 0.58093591304108870
0.263198820464635300, 0.75279069577386250
0.399047782320936800, 1.05867122272223460
0.645378453630914300, 1.70640737525525750
1.093208545036006300, 3.42121151246303730
1.669528446126338200, 6.40707425026225950
2.204640523645153000, 10.75850168615405000
2.979416690138054300, 20.14798526009152700
4.039007309306499000, 42.66018438138136000
4.308471620902409000, 48.89421459664280000
