type, d, d1, d2, D, D1, D2, B, r12_min, C, C0, Pu, n_ref, n_limit, mass, designation, capped_one_side, kr, f0
icos, 12, 18.4, , 32, , 27.4, 10, 0.6, 7.28, 3.1, 0.132, , 14000, 0.041, ICOS-D1B01 TN9, , 0.025, 12
icos, 15, 21.7, , 35, , 30.5, 11, 0.6, 8.06, 3.75, 0.16, , 12000, 0.048, ICOS-D1B02 TN9, , 0.025, 13
icos, 17, 24.5, , 40, , 35, 12, 0.6, 9.95, 4.75, 0.2, , 11000, 0.071, ICOS-D1B03 TN9, , 0.025, 13
icos, 20, 28.8, , 47, , 40.6, 14, 1, 13.5, 6.55, 0.28, , 9300, 0.11, ICOS-D1B04 TN9, , 0.025, 13
icos, 25, 34.3, , 52, , 46.3, 15, 1, 14.8, 7.8, 0.335, , 7700, 0.14, ICOS-D1B05 TN9, , 0.025, 14
icos, 30, 40.3, , 62, , 54.1, 16, 1, 20.3, 11.2, 0.475, , 6500, 0.22, ICOS-D1B06 TN9, , 0.025, 14
